match_id,season,match_name,home_team,away_team,venue,batting_innings,bowling_innings,Player_name,Starting_11,bowling_team_bowl,batting_team_bat,prev_runs,prev_balls,prev_sixes,prev_fours,prev_wickets,prev_conceded,prev_Overs_Bowled,prev_catches,prev_Dream Team,prev_Total_FP,prev_overs,prev_fielding_heroics,prev_duck,luck,Captain/Vice Captain
1,2008,CSK v DC,CSK,DC,"MA Chidambaram Stadium, Chepauk, Chennai",2.0,1.0,AB de Villiers,4.0,,DC,,,,,,,,,,,,,0,98,NC
2,2008,MI v DC,MI,DC,"Dr DY Patil Sports Academy, Mumbai",2.0,1.0,AB de Villiers,4.0,,DC,26.0,21.0,0.0,2.0,,,,,1.0,32.0,,,0,35,NC
3,2008,DC v CSK,DC,CSK,"Arun Jaitley Stadium, Delhi",1.0,2.0,AB de Villiers,4.0,,DC,21.0,17.0,1.0,2.0,,,,1.0,0.0,37.0,,0.0,0,79,NC
4,2008,RR v DC,RR,DC,"Sawai Mansingh Stadium, Jaipur",1.0,2.0,AB de Villiers,4.0,,DC,0.0,1.0,0.0,0.0,,,,2.0,0.0,18.0,,0.0,1,33,NC
5,2008,KKR v DC,KKR,DC,"Eden Gardens, Kolkata",2.0,1.0,AB de Villiers,4.0,,DC,20.0,22.0,0.0,0.0,,,,0.0,1.0,36.0,,1.0,0,82,NC
6,2008,RCB v DC,RCB,DC,"M.Chinnaswamy Stadium, Bengaluru",2.0,1.0,AB de Villiers,4.0,,DC,7.0,12.0,0.0,0.0,,,,0.0,0.0,13.0,,1.0,0,54,NC
7,2009,CSK v DC,CSK,DC,"Kingsmead, Durban",1.0,2.0,AB de Villiers,4.0,,DC,21.0,25.0,0.0,1.0,,,,,1.0,26.0,,,0,12,C
8,2009,RCB v DC,RCB,DC,"St George's Park, Port Elizabeth",2.0,1.0,AB de Villiers,4.0,,DC,105.0,54.0,6.0,5.0,,,,2.0,1.0,164.0,,0.0,0,65,NC
9,2009,DC v RR,DC,RR,"SuperSport Park, Centurion",1.0,2.0,AB de Villiers,4.0,,DC,21.0,23.0,0.0,0.0,,,,0.0,1.0,37.0,,1.0,0,71,NC
10,2009,SRH v DC,SRH,DC,"SuperSport Park, Centurion",2.0,1.0,AB de Villiers,4.0,,DC,50.0,40.0,1.0,5.0,,,,,1.0,69.0,,,0,70,NC
11,2009,CSK v DC,CSK,DC,"The Wanderers Stadium, Johannesburg",2.0,1.0,AB de Villiers,4.0,,DC,5.0,9.0,0.0,1.0,,,,2.0,0.0,26.0,,0.0,0,22,NC
12,2009,DC v KKR,DC,KKR,"Kingsmead, Durban",2.0,1.0,AB de Villiers,4.0,,,0.0,1.0,0.0,0.0,,,,3.0,0.0,36.0,,1.0,1,66,NC
13,2009,DC v MI,DC,MI,"Buffalo Park, East London",2.0,1.0,AB de Villiers,4.0,,DC,,,,,,,,1.0,1.0,12.0,,0.0,0,38,VC
14,2009,DC v KKR,DC,KKR,"The Wanderers Stadium, Johannesburg",2.0,1.0,AB de Villiers,4.0,,DC,50.0,38.0,1.0,6.0,,,,1.0,1.0,80.0,,0.0,0,71,NC
15,2009,SRH v DC,SRH,DC,"Kingsmead, Durban",1.0,2.0,AB de Villiers,4.0,,DC,40.0,32.0,0.0,5.0,,,,1.0,1.0,61.0,,0.0,0,49,NC
16,2009,DC v PBKS,DC,PBKS,"Mangaung Oval, Bloemfontein",1.0,2.0,AB de Villiers,4.0,,DC,44.0,36.0,1.0,4.0,,,,1.0,1.0,66.0,,0.0,0,66,NC
17,2009,DC v RR,DC,RR,"Mangaung Oval, Bloemfontein",1.0,2.0,AB de Villiers,4.0,,DC,11.0,11.0,0.0,1.0,,,,1.0,0.0,24.0,,0.0,0,11,VC
18,2009,RCB v DC,RCB,DC,"The Wanderers Stadium, Johannesburg",1.0,2.0,AB de Villiers,4.0,,DC,79.0,55.0,1.0,8.0,,,,,1.0,103.0,,,0,96,NC
19,2009,DC v MI,DC,MI,"SuperSport Park, Centurion",2.0,1.0,AB de Villiers,4.0,,DC,28.0,29.0,0.0,3.0,,,,,1.0,35.0,,,0,62,NC
20,2009,SRH v DC,SRH,DC,"SuperSport Park, Centurion",1.0,2.0,AB de Villiers,4.0,,DC,6.0,6.0,0.0,1.0,,,,1.0,0.0,19.0,,0.0,0,17,NC
21,2010,PBKS v DC,PBKS,DC,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2.0,1.0,AB de Villiers,4.0,,DC,26.0,21.0,2.0,0.0,,,,,1.0,34.0,,,0,73,NC
22,2010,RR v DC,RR,DC,"Sardar Patel (Gujarat) Stadium, Motera, Ahmedabad",2.0,1.0,AB de Villiers,4.0,,DC,7.0,13.0,0.0,0.0,,,,,0.0,7.0,,,0,65,NC
23,2010,DC v MI,DC,MI,"Arun Jaitley Stadium, Delhi",2.0,1.0,AB de Villiers,4.0,,DC,15.0,24.0,0.0,0.0,,,,1.0,0.0,25.0,,0.0,0,1,NC
24,2010,DC v CSK,DC,CSK,"Arun Jaitley Stadium, Delhi",1.0,2.0,AB de Villiers,4.0,,DC,11.0,11.0,0.0,2.0,,,,,0.0,17.0,,,0,68,NC
25,2010,SRH v DC,SRH,DC,"Barabati Stadium, Cuttack",2.0,1.0,AB de Villiers,4.0,,DC,2.0,3.0,0.0,0.0,,,,0.0,0.0,18.0,,1.0,0,28,NC
26,2010,RCB v DC,RCB,DC,"M.Chinnaswamy Stadium, Bengaluru",1.0,2.0,AB de Villiers,4.0,,DC,27.0,26.0,0.0,2.0,,,,2.0,1.0,55.0,,1.0,0,75,NC
27,2010,MI v DC,MI,DC,"Brabourne Stadium, Mumbai",2.0,1.0,AB de Villiers,4.0,,DC,45.0,35.0,0.0,3.0,,,,1.0,1.0,70.0,,1.0,0,48,NC
28,2011,Kochi v RCB,Kochi,RCB,"Nehru Stadium, Kochi",2.0,1.0,AB de Villiers,4.0,,RCB,4.0,7.0,0.0,0.0,,,,2.0,0.0,24.0,,0.0,0,21,C
29,2011,RCB v MI,RCB,MI,"M.Chinnaswamy Stadium, Bengaluru",1.0,2.0,AB de Villiers,4.0,,RCB,54.0,40.0,5.0,1.0,,,,0.0,1.0,91.0,,1.0,0,92,NC
30,2011,DC v RCB,SRH,RCB,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2.0,1.0,AB de Villiers,4.0,,RCB,38.0,36.0,1.0,3.0,,,,,1.0,51.0,,,0,27,NC
31,2011,CSK v RCB,CSK,RCB,"MA Chidambaram Stadium, Chepauk, Chennai",2.0,1.0,AB de Villiers,4.0,,RCB,0.0,7.0,0.0,0.0,,,,1.0,0.0,10.0,,0.0,1,20,VC
32,2011,KKR v RCB,KKR,RCB,"Eden Gardens, Kolkata",2.0,1.0,AB de Villiers,4.0,,,65.0,44.0,2.0,5.0,,,,1.0,1.0,96.0,,0.0,0,60,NC
33,2011,DC v RCB,DC,RCB,"Arun Jaitley Stadium, Delhi",2.0,1.0,AB de Villiers,4.0,,RCB,,,,,,,,0.0,0.0,10.0,,1.0,0,81,NC
34,2011,RCB v PWI,RCB,PWI,"M.Chinnaswamy Stadium, Bengaluru",1.0,2.0,AB de Villiers,4.0,,RCB,5.0,2.0,0.0,1.0,,,,1.0,0.0,24.0,,1.0,0,56,NC
35,2011,RCB v PBKS,RCB,PBKS,"M.Chinnaswamy Stadium, Bengaluru",1.0,2.0,AB de Villiers,4.0,,RCB,26.0,20.0,1.0,1.0,,,,,1.0,33.0,,,0,75,NC
36,2011,RCB v Kochi,RCB,Kochi,"M.Chinnaswamy Stadium, Bengaluru",2.0,1.0,AB de Villiers,4.0,,,27.0,14.0,2.0,2.0,,,,,1.0,43.0,,,0,57,NC
37,2011,RR v RCB,RR,RCB,"Sawai Mansingh Stadium, Jaipur",2.0,1.0,AB de Villiers,4.0,,,,,,,,,,1.0,0.0,30.0,,2.0,0,28,NC
38,2011,RCB v KKR,RCB,KKR,"M.Chinnaswamy Stadium, Bengaluru",2.0,1.0,AB de Villiers,4.0,,RCB,,,,,,,,1.0,0.0,18.0,,1.0,0,23,NC
39,2011,PBKS v RCB,PBKS,RCB,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2.0,1.0,AB de Villiers,4.0,,RCB,13.0,13.0,0.0,2.0,,,,1.0,1.0,27.0,,0.0,0,98,NC
40,2011,RCB v CSK,RCB,CSK,"M.Chinnaswamy Stadium, Bengaluru",2.0,1.0,AB de Villiers,4.0,,RCB,34.0,27.0,1.0,3.0,,,,,1.0,47.0,,,0,21,NC
41,2011,CSK v RCB,CSK,RCB,"Wankhede Stadium, Mumbai",1.0,2.0,AB de Villiers,4.0,,RCB,0.0,3.0,0.0,0.0,,,,1.0,0.0,10.0,,0.0,1,70,NC
42,2011,MI v RCB,MI,RCB,"MA Chidambaram Stadium, Chepauk, Chennai",1.0,2.0,AB de Villiers,4.0,,RCB,11.0,10.0,1.0,0.0,,,,,0.0,17.0,,,0,71,NC
43,2011,CSK v RCB,CSK,RCB,"MA Chidambaram Stadium, Chepauk, Chennai",2.0,1.0,AB de Villiers,4.0,,RCB,21.0,15.0,1.0,0.0,,,,0.0,1.0,41.0,,1.0,0,25,NC
44,2012,RCB v DC,RCB,DC,"M.Chinnaswamy Stadium, Bengaluru",1.0,2.0,AB de Villiers,4.0,,RCB,18.0,12.0,0.0,3.0,,,,,0.0,27.0,,,0,72,VC
45,2012,RCB v KKR,RCB,KKR,"M.Chinnaswamy Stadium, Bengaluru",2.0,1.0,AB de Villiers,4.0,,RCB,64.0,42.0,2.0,6.0,,,,0.0,1.0,96.0,,1.0,0,83,NC
46,2012,CSK v RCB,CSK,RCB,"MA Chidambaram Stadium, Chepauk, Chennai",1.0,2.0,AB de Villiers,4.0,,RCB,10.0,10.0,0.0,1.0,,,,1.0,0.0,35.0,,1.0,0,23,NC
47,2012,RCB v RR,RCB,RR,"M.Chinnaswamy Stadium, Bengaluru",2.0,1.0,AB de Villiers,4.0,,RCB,4.0,2.0,0.0,1.0,,,,,0.0,9.0,,,0,61,NC
48,2012,RCB v PWI,RCB,PWI,"M.Chinnaswamy Stadium, Bengaluru",2.0,1.0,AB de Villiers,4.0,,RCB,6.0,9.0,0.0,0.0,,,,0.0,0.0,22.0,,1.0,0,60,NC
49,2012,PBKS v RCB,PBKS,RCB,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2.0,1.0,AB de Villiers,4.0,,RCB,33.0,14.0,3.0,2.0,,,,0.0,1.0,73.0,,2.0,0,78,NC
50,2012,RR v RCB,RR,RCB,"Sawai Mansingh Stadium, Jaipur",1.0,2.0,AB de Villiers,4.0,,RCB,52.0,39.0,0.0,6.0,,,,1.0,1.0,80.0,,0.0,0,33,NC
51,2012,KKR v RCB,KKR,RCB,"Eden Gardens, Kolkata",2.0,1.0,AB de Villiers,4.0,,RCB,59.0,23.0,5.0,3.0,,,,0.0,1.0,102.0,,1.0,0,30,NC
52,2012,RCB v PBKS,RCB,PBKS,"M.Chinnaswamy Stadium, Bengaluru",1.0,2.0,AB de Villiers,4.0,,RCB,0.0,1.0,0.0,0.0,,,,,0.0,2.0,,,1,6,NC
53,2012,RCB v DC,RCB,SRH,"M.Chinnaswamy Stadium, Bengaluru",2.0,1.0,AB de Villiers,4.0,,RCB,17.0,13.0,1.0,1.0,,,,0.0,1.0,38.0,,2.0,0,87,NC
54,2012,PWI v RCB,PWI,RCB,"Maharashtra Cricket Association Stadium, Pune",1.0,2.0,AB de Villiers,4.0,,RCB,47.0,17.0,3.0,5.0,,,,,1.0,72.0,,,0,18,NC
55,2012,RCB v MI,RCB,MI,"M.Chinnaswamy Stadium, Bengaluru",1.0,2.0,AB de Villiers,4.0,,RCB,9.0,4.0,1.0,0.0,,,,0.0,1.0,39.0,,2.0,0,77,NC
56,2012,DC v RCB,DC,RCB,"Arun Jaitley Stadium, Delhi",1.0,2.0,AB de Villiers,4.0,,,14.0,13.0,0.0,1.0,,,,,0.0,19.0,,,0,11,NC
57,2012,DC v RCB,SRH,RCB,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2.0,1.0,AB de Villiers,4.0,,RCB,,,,,,,,1.0,0.0,12.0,,0.0,0,26,NC
58,2013,RCB v KKR,RCB,KKR,"M.Chinnaswamy Stadium, Bengaluru",2.0,1.0,AB de Villiers,4.0,,RCB,4.0,11.0,0.0,0.0,,,,1.0,0.0,10.0,,0.0,0,86,NC
59,2013,CSK v RCB,CSK,RCB,"MA Chidambaram Stadium, Chepauk, Chennai",1.0,2.0,AB de Villiers,4.0,,RCB,22.0,22.0,1.0,2.0,,,,1.0,1.0,38.0,,0.0,0,5,C
60,2013,RCB v DC,RCB,DC,"M.Chinnaswamy Stadium, Bengaluru",2.0,1.0,AB de Villiers,4.0,,RCB,64.0,32.0,1.0,8.0,,,,,1.0,92.0,,,0,28,NC
61,2013,RCB v RR,RCB,RR,"M.Chinnaswamy Stadium, Bengaluru",2.0,1.0,AB de Villiers,4.0,,RCB,39.0,32.0,1.0,3.0,,,,,1.0,52.0,,,0,30,NC
62,2013,RCB v PWI,RCB,PWI,"M.Chinnaswamy Stadium, Bengaluru",1.0,2.0,AB de Villiers,4.0,,RCB,7.0,8.0,0.0,1.0,,,,,0.0,12.0,,,0,32,NC
63,2013,MI v RCB,MI,RCB,"Wankhede Stadium, Mumbai",2.0,1.0,AB de Villiers,4.0,,RCB,31.0,8.0,3.0,3.0,,,,1.0,1.0,56.0,,0.0,0,52,NC
64,2013,RR v RCB,RR,RCB,"Sawai Mansingh Stadium, Jaipur",1.0,2.0,AB de Villiers,4.0,,RCB,2.0,3.0,0.0,0.0,,,,0.0,0.0,12.0,,1.0,0,15,NC
65,2013,PWI v RCB,PWI,RCB,"Maharashtra Cricket Association Stadium, Pune",1.0,2.0,AB de Villiers,4.0,,RCB,21.0,13.0,0.0,3.0,,,,1.0,1.0,46.0,,1.0,0,25,VC
66,2013,RCB v PBKS,RCB,PBKS,"M.Chinnaswamy Stadium, Bengaluru",1.0,2.0,AB de Villiers,4.0,,RCB,50.0,23.0,2.0,6.0,,,,2.0,1.0,94.0,,0.0,0,63,NC
67,2013,RCB v SRH,RCB,SRH,"M.Chinnaswamy Stadium, Bengaluru",2.0,1.0,AB de Villiers,4.0,,RCB,6.0,2.0,1.0,0.0,,,,1.0,1.0,20.0,,0.0,0,38,NC
68,2013,DC v RCB,DC,RCB,"Arun Jaitley Stadium, Delhi",1.0,2.0,AB de Villiers,4.0,,RCB,15.0,15.0,1.0,0.0,,,,1.0,0.0,29.0,,0.0,0,19,NC
69,2013,KKR v RCB,KKR,RCB,"JSCA International Stadium Complex, Ranchi",1.0,2.0,AB de Villiers,4.0,,RCB,32.0,17.0,2.0,2.0,,,,,1.0,52.0,,,0,60,NC
70,2013,PBKS v RCB,PBKS,RCB,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",1.0,2.0,AB de Villiers,4.0,,RCB,28.0,22.0,1.0,1.0,,,,,1.0,35.0,,,0,69,NC
71,2013,RCB v CSK,RCB,CSK,"M.Chinnaswamy Stadium, Bengaluru",1.0,2.0,AB de Villiers,4.0,,RCB,38.0,19.0,2.0,4.0,,,,1.0,1.0,68.0,,0.0,0,38,NC
72,2014,RCB v MI,RCB,MI,Dubai International Cricket Stadium,2.0,1.0,AB de Villiers,4.0,,RCB,5.0,3.0,0.0,1.0,,,,,0.0,10.0,,,0,50,VC
73,2014,RCB v KKR,RCB,KKR,Sharjah Cricket Stadium,2.0,1.0,AB de Villiers,4.0,,RCB,45.0,48.0,1.0,3.0,,,,2.0,1.0,74.0,,0.0,0,38,NC
74,2014,RR v RCB,RR,RCB,"Sheikh Zayed Stadium, Abu Dhabi",1.0,2.0,AB de Villiers,4.0,,RCB,11.0,12.0,0.0,1.0,,,,1.0,0.0,24.0,,0.0,0,16,NC
75,2014,PBKS v RCB,PBKS,RCB,Dubai International Cricket Stadium,1.0,2.0,AB de Villiers,4.0,,RCB,0.0,1.0,0.0,0.0,,,,1.0,0.0,10.0,,0.0,1,19,NC
76,2014,RCB v SRH,RCB,SRH,"M.Chinnaswamy Stadium, Bengaluru",2.0,1.0,AB de Villiers,4.0,,RCB,17.0,15.0,0.0,2.0,,,,,0.0,23.0,,,0,86,C
77,2014,MI v RCB,MI,RCB,"Wankhede Stadium, Mumbai",2.0,1.0,AB de Villiers,4.0,,RCB,89.0,41.0,8.0,6.0,,,,1.0,1.0,137.0,,0.0,0,23,NC
78,2014,RCB v PBKS,RCB,PBKS,"M.Chinnaswamy Stadium, Bengaluru",2.0,1.0,AB de Villiers,4.0,,RCB,9.0,7.0,0.0,2.0,,,,,0.0,15.0,,,0,53,NC
80,2014,RCB v DC,RCB,DC,"M.Chinnaswamy Stadium, Bengaluru",1.0,2.0,AB de Villiers,4.0,,RCB,58.0,32.0,5.0,1.0,,,,,1.0,87.0,,,0,6,NC
81,2014,CSK v RCB,CSK,RCB,"JSCA International Stadium Complex, Ranchi",2.0,1.0,AB de Villiers,4.0,,RCB,33.0,17.0,1.0,4.0,,,,,1.0,53.0,,,0,2,NC
82,2014,SRH v RCB,SRH,RCB,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1.0,2.0,AB de Villiers,4.0,,RCB,28.0,14.0,3.0,1.0,,,,1.0,1.0,53.0,,0.0,0,62,NC
83,2014,KKR v RCB,KKR,RCB,"Eden Gardens, Kolkata",2.0,1.0,AB de Villiers,4.0,,RCB,29.0,17.0,1.0,2.0,,,,,1.0,43.0,,,0,36,NC
84,2014,RCB v CSK,RCB,CSK,"M.Chinnaswamy Stadium, Bengaluru",1.0,2.0,AB de Villiers,4.0,,RCB,13.0,13.0,0.0,1.0,,,,,0.0,18.0,,,0,33,NC
85,2015,KKR v RCB,KKR,RCB,"Eden Gardens, Kolkata",2.0,1.0,AB de Villiers,4.0,,RCB,10.0,6.0,0.0,2.0,,,,,0.0,16.0,,,0,29,NC
86,2015,RCB v SRH,RCB,SRH,"M.Chinnaswamy Stadium, Bengaluru",1.0,2.0,AB de Villiers,4.0,,RCB,28.0,13.0,2.0,3.0,,,,,1.0,45.0,,,0,44,NC
87,2015,RCB v MI,RCB,MI,"M.Chinnaswamy Stadium, Bengaluru",2.0,1.0,AB de Villiers,4.0,,RCB,46.0,28.0,2.0,5.0,,,,,1.0,67.0,,,0,91,NC
88,2015,RCB v CSK,RCB,CSK,"M.Chinnaswamy Stadium, Bengaluru",2.0,1.0,AB de Villiers,4.0,,RCB,41.0,11.0,3.0,5.0,,,,,1.0,66.0,,,0,11,NC
89,2015,RR v RCB,RR,RCB,"Sardar Patel (Gujarat) Stadium, Motera, Ahmedabad",2.0,1.0,AB de Villiers,4.0,,RCB,14.0,10.0,2.0,0.0,,,,2.0,1.0,40.0,,0.0,0,48,NC
90,2015,DC v RCB,DC,RCB,"Arun Jaitley Stadium, Delhi",2.0,1.0,AB de Villiers,4.0,,,47.0,34.0,0.0,6.0,,,,,1.0,63.0,,,0,88,NC
91,2015,RCB v RR,RCB,RR,"M.Chinnaswamy Stadium, Bengaluru",2.0,1.0,AB de Villiers,4.0,,RCB,,,,,,,,1.0,1.0,24.0,,1.0,0,87,C
92,2015,RCB v KKR,RCB,KKR,"M.Chinnaswamy Stadium, Bengaluru",2.0,1.0,AB de Villiers,4.0,,RCB,57.0,45.0,1.0,9.0,,,,,1.0,80.0,,,0,81,NC
93,2015,CSK v RCB,CSK,RCB,"MA Chidambaram Stadium, Chepauk, Chennai",2.0,1.0,AB de Villiers,4.0,,RCB,2.0,4.0,0.0,0.0,,,,1.0,0.0,14.0,,0.0,0,41,NC
94,2015,RCB v PBKS,RCB,PBKS,"M.Chinnaswamy Stadium, Bengaluru",1.0,2.0,AB de Villiers,4.0,,RCB,21.0,14.0,0.0,5.0,,,,,0.0,32.0,,,0,41,NC
96,2015,PBKS v RCB,PBKS,RCB,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2.0,1.0,AB de Villiers,4.0,,RCB,133.0,59.0,4.0,19.0,,,,1.0,1.0,194.0,,0.0,0,1,NC
97,2015,SRH v RCB,SRH,RCB,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2.0,1.0,AB de Villiers,4.0,,RCB,10.0,9.0,0.0,1.0,,,,1.0,0.0,23.0,,0.0,0,37,NC
99,2015,CSK v RCB,CSK,RCB,"JSCA International Stadium Complex, Ranchi",1.0,2.0,AB de Villiers,4.0,,RCB,66.0,38.0,4.0,4.0,,,,2.0,1.0,112.0,,0.0,0,16,NC
101,2016,RCB v DC,RCB,DC,"M.Chinnaswamy Stadium, Bengaluru",1.0,2.0,AB de Villiers,4.0,,RCB,82.0,42.0,6.0,7.0,,,,2.0,1.0,135.0,,0.0,0,21,NC
102,2016,MI v RCB,MI,RCB,"Wankhede Stadium, Mumbai",1.0,2.0,AB de Villiers,4.0,,RCB,55.0,33.0,1.0,9.0,,,,,1.0,82.0,,,0,97,NC
103,2016,RPS v RCB,RPS,RCB,"Maharashtra Cricket Association Stadium, Pune",1.0,2.0,AB de Villiers,4.0,,RCB,29.0,21.0,1.0,3.0,,,,2.0,1.0,56.0,,0.0,0,5,VC
104,2016,GL v RCB,GL,RCB,"Saurashtra Cricket Association Stadium, Rajkot",1.0,2.0,AB de Villiers,4.0,,RCB,83.0,46.0,4.0,6.0,,,,2.0,1.0,131.0,,0.0,0,48,NC
105,2016,SRH v RCB,SRH,RCB,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2.0,1.0,AB de Villiers,4.0,,RCB,20.0,16.0,0.0,2.0,,,,1.0,1.0,34.0,,0.0,0,33,NC
106,2016,RCB v KKR,RCB,KKR,"M.Chinnaswamy Stadium, Bengaluru",1.0,2.0,AB de Villiers,4.0,,RCB,47.0,32.0,2.0,3.0,,,,2.0,1.0,80.0,,0.0,0,71,NC
107,2016,RCB v RPS,RCB,RPS,"M.Chinnaswamy Stadium, Bengaluru",2.0,1.0,AB de Villiers,4.0,,RCB,4.0,6.0,0.0,0.0,,,,,0.0,8.0,,,0,69,NC
109,2016,RCB v MI,RCB,MI,"M.Chinnaswamy Stadium, Bengaluru",1.0,2.0,AB de Villiers,4.0,,RCB,64.0,35.0,2.0,5.0,,,,,1.0,91.0,,,0,61,NC
110,2016,RCB v GL,RCB,GL,"M.Chinnaswamy Stadium, Bengaluru",1.0,2.0,AB de Villiers,4.0,,RCB,24.0,27.0,1.0,1.0,,,,2.0,1.0,47.0,,0.0,0,98,C
111,2016,KKR v RCB,KKR,RCB,"Eden Gardens, Kolkata",2.0,1.0,AB de Villiers,4.0,,RCB,129.0,52.0,12.0,10.0,,,,2.0,1.0,205.0,,0.0,0,47,VC
112,2016,RCB v PBKS,RCB,PBKS,"M.Chinnaswamy Stadium, Bengaluru",1.0,2.0,AB de Villiers,4.0,,RCB,59.0,31.0,3.0,5.0,,,,1.0,1.0,96.0,,0.0,0,76,NC
113,2016,DC v RCB,DC,RCB,"Shaheed Veer Narayan Singh International Stadium, Raipur",2.0,1.0,AB de Villiers,4.0,,RCB,0.0,2.0,0.0,0.0,,,,3.0,1.0,30.0,,0.0,1,70,NC
114,2016,RCB v GL,RCB,GL,"M.Chinnaswamy Stadium, Bengaluru",2.0,1.0,AB de Villiers,4.0,,RCB,6.0,8.0,0.0,1.0,,,,1.0,0.0,19.0,,0.0,0,34,NC
115,2016,RCB v SRH,RCB,SRH,"M.Chinnaswamy Stadium, Bengaluru",2.0,1.0,AB de Villiers,4.0,,RCB,79.0,47.0,5.0,5.0,,,,1.0,1.0,118.0,,0.0,0,53,NC
117,2017,RCB v MI,RCB,MI,"M.Chinnaswamy Stadium, Bengaluru",1.0,2.0,AB de Villiers,4.0,,RCB,89.0,46.0,9.0,3.0,,,,,1.0,128.0,,,0,43,NC
118,2017,RCB v RPS,RCB,RPS,"M.Chinnaswamy Stadium, Bengaluru",2.0,1.0,AB de Villiers,4.0,,RCB,19.0,21.0,1.0,0.0,,,,1.0,1.0,33.0,,0.0,0,53,NC
119,2017,KKR v RCB,KKR,RCB,"Eden Gardens, Kolkata",2.0,1.0,AB de Villiers,4.0,,RCB,29.0,30.0,2.0,1.0,,,,1.0,0.0,46.0,,0.0,0,62,NC
120,2017,RCB v GL,RCB,GL,"M.Chinnaswamy Stadium, Bengaluru",1.0,2.0,AB de Villiers,4.0,,RCB,8.0,6.0,0.0,2.0,,,,1.0,0.0,22.0,,0.0,0,41,NC
121,2017,RPS v RCB,RPS,RCB,"Maharashtra Cricket Association Stadium, Pune",2.0,1.0,AB de Villiers,4.0,,RCB,5.0,11.0,0.0,0.0,,,,2.0,0.0,19.0,,0.0,0,83,NC
122,2017,MI v RCB,MI,RCB,"Wankhede Stadium, Mumbai",1.0,2.0,AB de Villiers,4.0,,RCB,3.0,8.0,0.0,0.0,,,,,0.0,7.0,,,0,26,NC
123,2017,RCB v PBKS,RCB,PBKS,"M.Chinnaswamy Stadium, Bengaluru",2.0,1.0,AB de Villiers,4.0,,RCB,43.0,27.0,3.0,3.0,,,,,1.0,64.0,,,0,18,NC
124,2017,RCB v KKR,RCB,KKR,"M.Chinnaswamy Stadium, Bengaluru",1.0,2.0,AB de Villiers,4.0,,RCB,10.0,6.0,1.0,1.0,,,,1.0,0.0,25.0,,0.0,0,9,NC
125,2018,KKR v RCB,KKR,RCB,"Eden Gardens, Kolkata",1.0,2.0,AB de Villiers,4.0,,RCB,10.0,8.0,0.0,2.0,,,,,0.0,16.0,,,0,28,NC
126,2018,RCB v PBKS,RCB,PBKS,"M.Chinnaswamy Stadium, Bengaluru",2.0,1.0,AB de Villiers,4.0,,RCB,44.0,23.0,5.0,1.0,,,,2.0,1.0,85.0,,0.0,0,3,NC
127,2018,RCB v RR,RCB,RR,"M.Chinnaswamy Stadium, Bengaluru",2.0,1.0,AB de Villiers,4.0,,RCB,57.0,40.0,4.0,2.0,,,,,1.0,81.0,,,0,62,NC
128,2018,MI v RCB,MI,RCB,"Wankhede Stadium, Mumbai",2.0,1.0,AB de Villiers,4.0,,RCB,20.0,18.0,1.0,1.0,,,,,0.0,27.0,,,0,42,NC
129,2018,RCB v DC,RCB,DC,"M.Chinnaswamy Stadium, Bengaluru",2.0,1.0,AB de Villiers,4.0,,RCB,1.0,2.0,0.0,0.0,,,,1.0,0.0,13.0,,0.0,0,54,C
130,2018,RCB v CSK,RCB,CSK,"M.Chinnaswamy Stadium, Bengaluru",1.0,2.0,AB de Villiers,4.0,,RCB,90.0,39.0,5.0,10.0,,,,1.0,1.0,136.0,,0.0,0,93,NC
131,2018,CSK v RCB,CSK,RCB,"Maharashtra Cricket Association Stadium, Pune",1.0,2.0,AB de Villiers,4.0,,RCB,68.0,30.0,8.0,2.0,,,,,1.0,104.0,,,0,31,NC
132,2018,SRH v RCB,SRH,RCB,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2.0,1.0,AB de Villiers,4.0,,RCB,1.0,4.0,0.0,0.0,,,,,0.0,5.0,,,0,11,NC
133,2018,DC v RCB,DC,RCB,"Arun Jaitley Stadium, Delhi",2.0,1.0,AB de Villiers,4.0,,RCB,5.0,8.0,0.0,0.0,,,,,0.0,9.0,,,0,98,C
134,2018,PBKS v RCB,PBKS,RCB,"Holkar Cricket Stadium, Indore",2.0,1.0,AB de Villiers,4.0,,,72.0,37.0,6.0,4.0,,,,1.0,1.0,114.0,,0.0,0,82,NC
136,2018,RR v RCB,RR,RCB,"Sawai Mansingh Stadium, Jaipur",2.0,1.0,AB de Villiers,4.0,,RCB,69.0,39.0,1.0,12.0,,,,1.0,1.0,109.0,,0.0,0,11,NC
137,2019,CSK v RCB,CSK,RCB,"MA Chidambaram Stadium, Chepauk, Chennai",1.0,2.0,AB de Villiers,4.0,,RCB,53.0,35.0,0.0,7.0,,,,,1.0,76.0,,,0,83,NC
