match_id,season,match_name,home_team,away_team,venue,batting_innings,bowling_innings,Player_name,Starting_11,bowling_team_bowl,batting_team_bat,prev_runs,prev_balls,prev_sixes,prev_fours,prev_wickets,prev_conceded,prev_Overs_Bowled,prev_catches,prev_Dream Team,prev_Total_FP,prev_overs,prev_fielding_heroics,prev_duck,luck,Total_FP
20243,2022,MI v LSG,MI,LSG,"Brabourne Stadium, Mumbai",2.0,1.0,Tymal Mills,4.0,MI,MI,0.0,2.0,0.0,0.0,0.0,37.0,"[6, 9, 13, 16]",,0.0,4.0,4.0,,1,85,-2.0
20244,2009,RCB v RR,RCB,RR,"Newlands, Cape Town",2.0,1.0,Tyron Henderson,4.0,RR,RR,,,,,,,,,,,,,0,35,42.0
20245,2009,KKR v RR,KKR,RR,"Kingsmead, Durban",1.0,2.0,Tyron Henderson,4.0,RR,RR,11.0,15.0,1.0,0.0,1.0,30.0,"[9, 11, 17, 19]",,1.0,42.0,4.0,,0,81,8.0
20246,2008,RCB v PBKS,RCB,PBKS,"M.Chinnaswamy Stadium, Bengaluru",2.0,1.0,Uday Kaul,4.0,,,,,,,,,,,,,,,0,51,32.0
20247,2008,CSK v PBKS,CSK,PBKS,"MA Chidambaram Stadium, Chepauk, Chennai",2.0,1.0,Uday Kaul,4.0,,PBKS,,,,,,,,2.0,1.0,32.0,,1.0,0,99,4.0
20248,2008,PBKS v RCB,PBKS,RCB,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2.0,1.0,Uday Kaul,4.0,,,0.0,1.0,0.0,0.0,,,,,0.0,4.0,,,1,44,10.0
20249,2013,RR v PWI,RR,PWI,"Sawai Mansingh Stadium, Jaipur",1.0,2.0,Udit Birla,4.0,,,,,,,,,,,,,,,0,81,12.0
20250,2013,PWI v KKR,PWI,KKR,"Maharashtra Cricket Association Stadium, Pune",2.0,1.0,Udit Birla,4.0,,PWI,,,,,,,,1.0,0.0,12.0,,0.0,0,43,8.0
20251,2008,RR v KKR,RR,KKR,"Sawai Mansingh Stadium, Jaipur",2.0,1.0,Umar Gul,4.0,KKR,KKR,,,,,,,,,,,,,0,40,107.0
20252,2008,PBKS v KKR,PBKS,KKR,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2.0,1.0,Umar Gul,4.0,KKR,,2.0,2.0,0.0,0.0,3.0,31.0,"[6, 12, 16, 20]",0.0,1.0,107.0,4.0,1.0,0,50,64.0
20253,2008,KKR v RCB,KKR,RCB,"Eden Gardens, Kolkata",1.0,2.0,Umar Gul,4.0,KKR,KKR,,,,,2.0,27.0,"[13, 15, 17, 19]",,1.0,64.0,4.0,,0,89,10.0
